,지역명,지역 코드,년월일,최저기온(℃),최고기온(℃),일강수량(mm),최대순간풍속(m/s)
0,서울,108,2020-01-02,-0.7,3.8,0.0,6.7
1,서울,108,2020-01-03,-3.4,4.6,0.0,5.8
2,서울,108,2020-01-04,-2.8,6.1,0.0,8.5
3,서울,108,2020-01-05,-3.2,6.6,0.0,4.4
4,서울,108,2020-01-06,0.6,4.6,1.8,8.8
5,서울,108,2020-01-07,4.2,7.7,46.3,9.5
6,서울,108,2020-01-08,-0.4,8.9,11.6,11.8
7,서울,108,2020-01-09,-3.1,2.0,0.0,7.2
8,서울,108,2020-01-10,-4.3,4.2,0.0,5.5
9,서울,108,2020-01-11,-2.6,3.9,0.0,7.0
10,서울,108,2020-01-12,-3.5,2.8,0.0,6.8
11,서울,108,2020-01-13,-4.7,0.2,0.0,8.3
12,서울,108,2020-01-14,-5.7,2.6,0.0,5.5
13,서울,108,2020-01-15,-6.4,2.2,0.0,8.0
14,서울,108,2020-01-16,-5.5,3.2,0.0,6.9
15,서울,108,2020-01-17,-4.8,4.9,0.0,6.7
16,서울,108,2020-01-18,-4.1,5.9,0.0,6.8
17,서울,108,2020-01-19,-0.4,5.3,0.6,10.9
18,서울,108,2020-01-20,-3.3,5.5,0.0,10.4
19,서울,108,2020-01-21,-5.6,5.5,0.0,5.6
20,서울,108,2020-01-22,-0.1,7.8,0.0,6.3
21,서울,108,2020-01-23,0.0,9.9,0.0,6.9
22,서울,108,2020-01-24,-1.3,7.4,0.0,6.4
23,서울,108,2020-01-25,0.6,8.8,0.0,6.8
24,서울,108,2020-01-26,-0.2,11.9,0.0,11.1
25,서울,108,2020-01-27,4.8,7.5,0.1,13.7
26,서울,108,2020-01-28,4.3,9.9,0.0,8.8
27,서울,108,2020-01-29,3.2,9.6,0.0,5.8
28,서울,108,2020-01-30,1.4,10.4,0.0,5.7
29,서울,108,2020-01-31,1.4,8.9,0.0,8.1
30,서울,108,2020-02-01,-1.2,7.6,0.0,7.7
31,서울,108,2020-02-02,-2.1,5.3,0.0,7.3
32,서울,108,2020-02-03,-2.9,3.0,0.0,9.0
33,서울,108,2020-02-04,-6.0,3.9,1.7,10.8
34,서울,108,2020-02-05,-11.0,-4.9,0.0,10.2
35,서울,108,2020-02-06,-11.8,0.4,0.0,7.0
36,서울,108,2020-02-07,-7.2,2.2,0.0,6.9
37,서울,108,2020-02-08,-2.3,3.7,0.0,8.9
38,서울,108,2020-02-09,-5.6,4.1,0.0,8.0
39,서울,108,2020-02-10,-0.7,9.6,0.0,7.8
40,서울,108,2020-02-11,-0.5,14.6,0.0,5.7
41,서울,108,2020-02-12,6.5,8.2,6.7,7.9
42,서울,108,2020-02-13,4.9,8.7,0.0,5.3
43,서울,108,2020-02-14,3.2,14.7,0.0,4.9
44,서울,108,2020-02-15,6.2,15.6,2.0,9.0
45,서울,108,2020-02-16,-4.3,7.7,13.4,11.5
46,서울,108,2020-02-17,-7.1,-3.9,1.0,9.4
47,서울,108,2020-02-18,-8.3,1.3,0.0,6.6
48,서울,108,2020-02-19,-4.4,6.4,0.0,5.4
49,서울,108,2020-02-20,-0.6,10.8,0.0,6.0
50,서울,108,2020-02-21,2.1,10.9,4.2,9.7
51,서울,108,2020-02-22,0.0,7.9,3.1,14.4
52,서울,108,2020-02-23,-2.5,8.0,0.0,8.1
53,서울,108,2020-02-24,0.8,12.2,0.0,6.2
54,서울,108,2020-02-25,4.7,9.4,16.6,12.4
55,서울,108,2020-02-26,2.8,10.4,0.0,6.6
56,서울,108,2020-02-27,1.3,12.5,0.0,7.0
57,서울,108,2020-02-28,3.6,5.9,3.9,8.1
58,서울,108,2020-02-29,4.5,13.0,0.5,6.4
59,서울,108,2020-03-01,3.2,10.1,0.2,8.3
60,서울,108,2020-03-02,0.0,7.6,0.0,9.3
61,서울,108,2020-03-03,0.3,10.5,0.0,8.0
62,서울,108,2020-03-04,-1.3,4.6,0.0,11.7
63,서울,108,2020-03-05,-2.8,6.3,0.0,7.6
64,서울,108,2020-03-06,-2.5,10.1,0.0,6.0
65,서울,108,2020-03-07,1.3,14.2,0.0,6.3
66,서울,108,2020-03-08,2.3,16.9,0.0,7.0
67,서울,108,2020-03-09,4.8,17.6,0.0,7.3
68,서울,108,2020-03-10,3.2,10.8,11.8,8.7
69,서울,108,2020-03-11,0.0,8.3,0.0,9.6
70,서울,108,2020-03-12,0.2,13.3,0.0,10.2
71,서울,108,2020-03-13,-0.1,8.7,0.5,9.1
72,서울,108,2020-03-14,-2.7,8.6,0.0,11.9
73,서울,108,2020-03-15,0.2,8.5,0.0,14.4
74,서울,108,2020-03-16,-2.1,9.1,0.0,9.8
75,서울,108,2020-03-17,3.1,12.3,0.0,9.0
76,서울,108,2020-03-18,2.7,17.0,0.0,8.1
77,서울,108,2020-03-19,5.8,12.1,0.0,16.3
78,서울,108,2020-03-20,3.1,14.0,0.0,13.0
79,서울,108,2020-03-21,7.9,19.5,0.0,8.6
80,서울,108,2020-03-22,6.1,16.5,0.0,10.2
81,서울,108,2020-03-23,5.4,17.0,0.0,9.6
82,서울,108,2020-03-24,5.3,17.9,0.0,7.0
83,서울,108,2020-03-25,6.1,19.2,0.0,8.3
84,서울,108,2020-03-26,8.1,20.6,1.8,7.3
85,서울,108,2020-03-27,6.7,15.8,2.0,10.3
86,서울,108,2020-03-28,4.5,12.8,0.0,10.1
87,서울,108,2020-03-29,1.3,16.1,0.0,7.4
88,서울,108,2020-03-30,4.3,16.9,0.0,6.8
89,서울,108,2020-03-31,4.7,18.6,0.0,7.4
90,서울,108,2020-04-01,6.0,17.4,0.0,11.9
91,서울,108,2021-01-02,-8.4,-1.4,0.0,9.9
92,서울,108,2021-01-03,-9.1,-2.0,0.0,8.5
93,서울,108,2021-01-04,-8.4,0.3,0.0,5.6
94,서울,108,2021-01-05,-9.9,-2.1,0.0,9.9
95,서울,108,2021-01-06,-12.0,-1.9,2.3,15.9
96,서울,108,2021-01-07,-16.5,-8.4,0.0,15.3
97,서울,108,2021-01-08,-18.6,-10.7,0.0,10.9
98,서울,108,2021-01-09,-16.6,-7.5,0.0,11.4
99,서울,108,2021-01-10,-12.8,-2.7,0.0,4.2
100,서울,108,2021-01-11,-9.6,-4.0,0.0,5.4
101,서울,108,2021-01-12,-9.3,-0.5,0.0,4.9
102,서울,108,2021-01-13,-3.0,8.3,0.0,9.0
103,서울,108,2021-01-14,-3.6,7.0,0.0,6.5
104,서울,108,2021-01-15,-0.7,9.9,0.2,10.6
105,서울,108,2021-01-16,-8.7,-0.7,0.0,9.2
106,서울,108,2021-01-17,-10.8,-1.3,0.0,6.7
107,서울,108,2021-01-18,-9.1,0.2,0.3,14.6
108,서울,108,2021-01-19,-11.6,-0.2,0.0,7.9
109,서울,108,2021-01-20,-6.6,7.1,0.0,6.6
110,서울,108,2021-01-21,2.5,7.0,9.2,5.3
111,서울,108,2021-01-22,4.8,6.6,0.1,4.9
112,서울,108,2021-01-23,4.8,12.2,0.0,9.9
113,서울,108,2021-01-24,2.4,13.9,0.0,7.2
114,서울,108,2021-01-25,3.0,13.9,0.0,5.5
115,서울,108,2021-01-26,1.7,7.4,1.7,6.8
116,서울,108,2021-01-27,-1.8,6.5,0.0,9.0
117,서울,108,2021-01-28,-9.7,1.4,2.0,17.5
118,서울,108,2021-01-29,-11.6,-4.9,0.0,13.7
119,서울,108,2021-01-30,-8.1,5.2,0.5,8.1
120,서울,108,2021-01-31,-3.8,8.7,0.0,7.0
121,서울,108,2021-02-01,-2.3,9.5,0.7,11.4
122,서울,108,2021-02-02,-8.2,-2.4,0.0,11.2
123,서울,108,2021-02-03,-9.4,1.4,3.4,8.5
124,서울,108,2021-02-04,-7.4,0.7,0.1,10.4
125,서울,108,2021-02-05,-4.4,6.7,0.0,9.3
126,서울,108,2021-02-06,4.3,9.5,0.0,8.0
127,서울,108,2021-02-07,-2.6,7.7,0.0,9.4
128,서울,108,2021-02-08,-5.4,0.2,0.0,11.5
129,서울,108,2021-02-09,-6.1,4.7,0.0,8.1
130,서울,108,2021-02-10,-1.5,7.2,0.0,7.7
131,서울,108,2021-02-11,1.3,10.9,0.0,4.9
132,서울,108,2021-02-12,0.6,14.0,0.0,5.9
133,서울,108,2021-02-13,1.0,15.9,0.0,6.1
134,서울,108,2021-02-14,6.4,13.8,0.0,5.4
135,서울,108,2021-02-15,-5.2,8.2,1.4,14.1
136,서울,108,2021-02-16,-7.0,-1.3,1.5,12.9
137,서울,108,2021-02-17,-10.4,-5.2,0.0,15.8
138,서울,108,2021-02-18,-10.6,-0.4,0.0,9.9
139,서울,108,2021-02-19,-7.1,8.9,0.0,11.7
140,서울,108,2021-02-20,5.5,14.9,0.0,6.5
141,서울,108,2021-02-21,4.7,17.4,0.0,10.4
142,서울,108,2021-02-22,0.4,12.6,0.0,11.6
143,서울,108,2021-02-23,-3.1,4.3,0.0,8.5
144,서울,108,2021-02-24,-3.0,10.1,0.0,4.7
145,서울,108,2021-02-25,0.7,8.2,0.0,4.2
146,서울,108,2021-02-26,0.5,15.8,0.0,7.2
147,서울,108,2021-02-27,4.3,16.2,0.0,9.5
148,서울,108,2021-02-28,3.2,10.8,0.0,6.8
149,서울,108,2021-03-01,0.5,9.0,67.5,13.0
150,서울,108,2021-03-02,0.2,6.9,0.1,6.4
151,서울,108,2021-03-03,-1.2,9.9,0.0,5.3
152,서울,108,2021-03-04,2.5,13.0,0.0,4.9
153,서울,108,2021-03-05,3.0,16.2,0.0,8.1
154,서울,108,2021-03-06,3.2,11.6,0.0,10.5
155,서울,108,2021-03-07,2.1,12.2,0.0,7.8
156,서울,108,2021-03-08,1.5,13.9,0.0,7.7
157,서울,108,2021-03-09,2.1,12.2,0.0,8.2
158,서울,108,2021-03-10,1.7,17.1,0.0,5.8
159,서울,108,2021-03-11,4.7,17.1,0.0,7.3
160,서울,108,2021-03-12,7.2,14.9,0.0,8.4
161,서울,108,2021-03-13,4.6,14.2,0.0,7.6
162,서울,108,2021-03-14,4.9,14.7,0.0,6.8
163,서울,108,2021-03-15,5.1,15.7,1.7,9.8
164,서울,108,2021-03-16,4.9,13.1,1.3,9.9
165,서울,108,2021-03-17,1.8,17.5,0.0,6.8
166,서울,108,2021-03-18,5.0,18.4,0.0,6.5
167,서울,108,2021-03-19,11.4,20.2,0.0,7.5
168,서울,108,2021-03-20,7.4,14.7,5.1,9.2
169,서울,108,2021-03-21,3.1,8.6,0.3,14.8
170,서울,108,2021-03-22,1.1,11.1,0.0,12.4
171,서울,108,2021-03-23,2.5,16.4,0.0,12.1
172,서울,108,2021-03-24,5.7,16.9,0.0,9.3
173,서울,108,2021-03-25,6.8,19.0,0.0,7.7
174,서울,108,2021-03-26,4.8,20.6,0.0,4.2
175,서울,108,2021-03-27,10.2,15.0,25.5,8.0
176,서울,108,2021-03-28,7.7,13.0,9.2,10.9
177,서울,108,2021-03-29,7.3,14.6,0.2,11.2
178,서울,108,2021-03-30,4.1,18.2,0.0,8.1
179,서울,108,2021-03-31,5.9,22.9,0.0,6.0
180,서울,108,2021-04-01,12.0,24.0,0.0,12.4
181,서울,108,2022-01-02,-5.2,3.0,0.3,8.1
182,서울,108,2022-01-03,-8.0,2.5,0.0,6.9
183,서울,108,2022-01-04,-5.6,1.0,0.0,6.8
184,서울,108,2022-01-05,-7.8,1.9,0.0,4.2
185,서울,108,2022-01-06,-5.9,3.3,0.0,7.8
186,서울,108,2022-01-07,-5.9,4.5,0.0,5.2
187,서울,108,2022-01-08,-5.0,3.7,0.0,5.4
188,서울,108,2022-01-09,-1.2,5.6,0.0,4.6
189,서울,108,2022-01-10,-3.4,4.4,0.9,7.6
190,서울,108,2022-01-11,-10.3,0.3,0.2,12.4
191,서울,108,2022-01-12,-11.3,-3.4,0.0,7.1
192,서울,108,2022-01-13,-8.9,-3.1,0.0,13.9
193,서울,108,2022-01-14,-10.1,1.3,0.0,6.3
194,서울,108,2022-01-15,-5.3,1.8,0.0,4.9
195,서울,108,2022-01-16,-7.2,2.4,0.0,9.4
196,서울,108,2022-01-17,-9.2,0.1,0.5,8.0
197,서울,108,2022-01-18,-9.9,-0.7,0.0,6.6
198,서울,108,2022-01-19,-7.7,-2.7,1.7,8.3
199,서울,108,2022-01-20,-9.8,0.9,0.0,7.0
200,서울,108,2022-01-21,-8.7,4.6,0.0,5.0
201,서울,108,2022-01-22,-5.0,7.1,0.0,5.2
202,서울,108,2022-01-23,-0.6,6.7,0.0,5.7
203,서울,108,2022-01-24,1.3,8.4,0.0,9.6
204,서울,108,2022-01-25,1.9,4.5,0.7,7.7
205,서울,108,2022-01-26,-1.9,6.8,0.0,7.7
206,서울,108,2022-01-27,-4.6,4.0,0.0,7.7
207,서울,108,2022-01-28,-5.9,2.1,0.0,8.2
208,서울,108,2022-01-29,-7.2,0.9,0.0,8.6
209,서울,108,2022-01-30,-8.0,2.4,0.0,7.8
210,서울,108,2022-01-31,-6.8,4.8,1.2,8.7
211,서울,108,2022-02-01,-2.7,0.9,1.7,9.0
212,서울,108,2022-02-02,-6.0,0.0,0.0,8.3
213,서울,108,2022-02-03,-6.9,0.4,0.0,8.2
214,서울,108,2022-02-04,-8.2,-0.7,0.0,12.3
215,서울,108,2022-02-05,-9.7,-2.0,0.0,11.9
216,서울,108,2022-02-06,-8.4,1.7,0.0,11.4
217,서울,108,2022-02-07,-7.3,1.9,0.0,9.7
218,서울,108,2022-02-08,-4.1,5.6,0.0,6.8
219,서울,108,2022-02-09,-4.3,7.2,0.0,5.7
220,서울,108,2022-02-10,-3.2,6.7,0.0,8.8
221,서울,108,2022-02-11,-2.6,8.8,0.0,6.8
222,서울,108,2022-02-12,-0.1,10.4,0.0,6.7
223,서울,108,2022-02-13,1.6,9.5,0.0,5.4
224,서울,108,2022-02-14,-1.3,8.1,1.7,10.2
225,서울,108,2022-02-15,-7.7,-1.3,0.0,9.9
226,서울,108,2022-02-16,-9.6,-4.1,0.0,11.4
227,서울,108,2022-02-17,-10.7,-0.5,0.0,10.4
228,서울,108,2022-02-18,-8.0,5.7,0.0,6.1
229,서울,108,2022-02-19,-6.2,3.7,0.1,11.5
230,서울,108,2022-02-20,-8.4,-0.5,0.0,11.0
231,서울,108,2022-02-21,-8.1,3.6,0.1,13.1
232,서울,108,2022-02-22,-8.0,0.5,0.0,11.9
233,서울,108,2022-02-23,-10.0,-0.6,0.0,10.0
234,서울,108,2022-02-24,-8.5,3.7,0.0,10.2
235,서울,108,2022-02-25,-3.6,8.4,0.0,8.4
236,서울,108,2022-02-26,1.0,9.3,0.0,14.5
237,서울,108,2022-02-27,-1.6,9.1,0.0,12.3
238,서울,108,2022-02-28,2.7,11.5,0.0,6.1
239,서울,108,2022-03-01,0.3,9.7,2.3,9.8
240,서울,108,2022-03-02,-2.3,8.8,0.0,10.6
241,서울,108,2022-03-03,0.9,12.4,0.0,9.0
