가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수길중간위도,가로수길중간경도,가로수길소개,,,,,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명,제공기관명
봉천로,37.484761,126.9010178,37.4749903,126.9644157,37.47987565,126.9327168,도로변을 따라 벚꽃이 화려함,,,,,봉천로,특별시도,신림동 1677-5 ~ 봉천동 1637-27,02-879-6531,서울특별시 관악구청,2023-10-15,3200000,서울특별시 관악구,서울특별시 관악구
성현로,37.490829,126.956268,37.491958,126.943968,37.4913935,126.950118,왕벚나무 등 다양한 수목이 가로숲을 이루고 있어 각양각색의 아름다운 정취를 느낄 수 있음,,,,,성현로,구도,봉천동 1703-2 ~ 봉천동 1718-10,02-879-6531,서울특별시 관악구청,2023-10-15,3200000,서울특별시 관악구,서울특별시 관악구
신림동길,37.486626,126.923861,37.487521,126.928699,37.48647163,126.92628,도로변을 따라 벚꽃이 화려함,,,,,신림동길,구도,신림동 1467-16 ~ 신림동 1431-1,02-879-6531,서울특별시 관악구청,2023-10-15,3200000,서울특별시 관악구,서울특별시 관악구
양녕로,37.4822319,126.9452014,37.4900976,126.9435944,37.48047245,126.9443979,도로변을 따라 벚꽃이 화려함,,,,,양녕로,특별시도,봉천동 978-7 ~ 봉천동 1718-11,02-879-6531,서울특별시 관악구청,2023-10-15,3200000,서울특별시 관악구,서울특별시 관악구
관악로30길,37.48631726,126.9572967,37.49009804,126.9602995,37.47712298,126.9587981,보행자를 위한 산책로 주변으로 아름다운 벚꽃길이 조성되어 있음,,,,,관악로30길,구도,봉천동 1706-3 ~ 봉천동 1717-1,02-879-6531,서울특별시 관악구청,2023-10-15,3200000,서울특별시 관악구,서울특별시 관악구
관천로,37.478713,126.931884,37.489383,126.919467,37.482457,126.9256755,봄철 화려한 벚꽃과 가을철 노란 은행나무 단풍이 아름다움,,,,,관천로,구도,신림동 1642-10 ~ 신림동 1472-5,02-879-6531,서울특별시 관악구청,2023-10-15,3200000,서울특별시 관악구,서울특별시 관악구
낙성대로,37.4679287,126.9563269,37.4774292,126.9569706,37.48225038,126.9566488,봄에는 하얀 자태를 뽐내던 왕벚나무들이 붉게 물들어 또 다른 정취를 자아냄,,,,,낙성대로,구도,봉천동 산37-2 ~ 봉천동 1693-40,02-879-6531,서울특별시 관악구청,2023-10-15,3200000,서울특별시 관악구,서울특별시 관악구
난곡로,37.486201,126.9130798,37.4610532,126.922823,37.5228535,126.9179514,도로변을 따라 벚꽃이 화려함,,,,,난곡로,특별시도,신림동 502 ~ 신림동 산87-11,02-879-6531,서울특별시 관악구청,2023-10-15,3200000,서울특별시 관악구,서울특별시 관악구
남부순환로,37.49657205,127.0704912,37.4974308,127.0733022,37.40623653,127.0718967,관악구 중앙을 관통하는 대로를 중심으로 사각모양의 버즘나무 구간이 특색있는 경관을 연출함,,,,,남부순환로,특별시도,사당역 ~ 시흥IC,02-879-6531,서울특별시 관악구청,2023-10-15,3200000,서울특별시 관악구,서울특별시 관악구
서애로,37.559506,126.996165,37.562215,126.998482,37.4456105,126.9973235,봄철 벚꽃이 아름다운 노선,,,,,서애로,,선일빌딩~퇴계로4가 교차로,02-3396-5872,서울특별시 중구청,2023-07-04,3010000,서울특별시 중구,서울특별시 중구
