가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수길중간위도,가로수길중간경도,제공기관명,가로수길소개
대전동과학단지~경포입구 구간 안현로,37.47420396,37.47420396,37.48208692,128.5410361,37.47814544,83.00762003,강원도 강릉시,서천제방변으로 식재되어 있는 벚꽃길로서 매년 벚꽃이 피는 4월이 되면 북새통을 이루는 가로수길.
가마솥옹기뚜껑~영동초교 구간 화부산로,37.45446364,128.5376704,37.45331992,128.5310136,37.45389178,128.534342,강원도 강릉시,왕벚나무가 주된 수종이며 아름다운 벚꽃을 볼 수 있음
군정교~경포사거리 경포현대입구 구간 경포로,37.46416028,128.5391032,37.4852452,128.541256,37.47470274,128.5401796,강원도 강릉시,왕벚나무가 주된 수종이며 아름다운 벚꽃을 볼 수 있음
주문진입구~주문진터미널 구간 연주로,37.51564228,128.5016184,37.5365832,128.4928524,37.52611274,128.4972354,강원도 강릉시,왕벚나무가 주된 수종이며 아름다운 벚꽃을 볼 수 있음
선경유업~소금강주유소 구간 진고개로,37.51305784,128.5017232,37.50485124,128.4220747,37.50895454,128.461899,강원도 강릉시,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출
강릉자동차매매상사~내곡동사무소 구간 남부로,37.7409851,128.8922381,37.73935584,128.880857,37.74017047,128.8865476,강원도 강릉시,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출
북평동행복복지센터~갯목,37.484323,129.125782,37.486761,129.134531,37.485542,129.1301565,강원도 동해시,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출
LS전선~효가사거리,37.491649,129.119448,37.492513,129.110785,37.492081,129.1151165,강원도 동해시,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출
동부메탈~북평중,37.504295,129.126869,37.498933,129.115447,37.501614,129.121158,강원도 동해시,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출
북평중학교 진입로,37.498815,129.115411,37.492641,129.115364,37.495728,129.1153875,강원도 동해시,도로변 벚나무꽃길 조성
발한동 운양상사~철이상점,37.543963,129.102181,37.544439,129.098371,37.544201,129.100276,강원도 동해시,도로변 벚나무꽃길 조성
삼화시가지(삼화교~차로분리 전),37.488123,129.068956,37.482195,129.061612,37.485159,129.065284,강원도 동해시,도로변 벚나무꽃길 조성
이원동 확장구간,37.481677,129.112556,37.480351,129.092778,37.481014,129.102667,강원도 동해시,도로변 벚나무꽃길 조성
발한동 장로교회~묵호중학교,37.542667,129.107699,37.544246,129.107234,37.5434565,129.1074665,강원도 동해시,도로변 벚나무꽃길 조성
묵호초교굴다리~망상동행복복지센터,37.551891,129.105399,37.557915,129.104394,37.554903,129.1048965,강원도 동해시,도로변 벚나무꽃길 조성
쌍용정문(후문)~무릉계입구,37.489873,129.054452,37.466661,129.031624,37.478267,129.043038,강원도 동해시,국도변 양측 벚나무 식재로 봄철 벚나무꽃길 조성
삼화교~쌍용후문(무릉교),37.488628,129.069361,37.480156,129.054383,37.484392,129.061872,강원도 동해시,국도변 양측 벚나무 식재로 봄철 벚나무꽃길 조성
아람채아파트 북측도로,37.548781,129.098471,37.548271,129.101939,37.548526,129.100205,강원도 동해시,국도변 양측 벚나무 식재로 봄철 벚나무꽃길 조성
광희고등학교∼귀운교,37.488817,129.102296,37.48259392,129.0909017,37.48570546,129.0965989,강원도 동해시,국도변 양측 벚나무 식재로 봄철 벚나무꽃길 조성
용정굴다리~북평중학교,37.504219,129.126778,37.498925,129.115535,37.501572,129.1211565,강원도 동해시,국도변 양측 벚나무 식재로 봄철 벚나무꽃길 조성
동해역앞사거리~해안도로,37.497281,129.126465,37.498865,129.129948,37.498073,129.1282065,강원도 동해시,도로변 벚나무꽃길 조성
사문재~노봉사거리,37.561726,129.100492,37.581315,129.098755,37.5715205,129.0996235,강원도 동해시,도로변 벚나무꽃길 조성
망상해수욕장 신설 주차장변,37.598546,129.080955,37.595213,129.085296,37.5968795,129.0831255,강원도 동해시,도로변 벚나무꽃길 조성
부곡파출소~임항로사거리,37.539224,129.101773,37.539389,129.110212,37.5393065,129.1059925,강원도 동해시,양 옆 왕벚나무 식재 조성
발한삼거리~묵호항,37.549559,129.108961,37.552266,129.113751,37.5509125,129.111356,강원도 동해시,도로변을 따라 벚꽃이 화려함
묵호역앞사거리~망상동사무소,37.547159,129.107263,37.557955,129.104318,37.552557,129.1057905,강원도 동해시,도로변을 따라 벚꽃이 화려함
동호번개시장~발한체육공원(지리골길),37.545346,129.103599,37.55166178,129.105346,37.54850389,129.1044725,강원도 동해시,대장금마실길을 찾는 관광객에게 봄날 벚꽃길 제공
북삼동 우회도로,37.492679,129.108328,37.497412,129.098884,37.4950455,129.103606,강원도 동해시,벚나무가 식재되어 있어 봄철 자연풍경을 감상하며 산책하기 좋은 길
망상해수욕장 시설주차장주변,37.592594,129.089553,37.594825,129.085689,37.5937095,129.087621,강원도 동해시,보행자를 위한 산책로 주변으로 아름다운 벚꽃길이 조성되어 있음
평릉택지내,37.526856,129.116219,37.532159,129.113373,37.5295075,129.114796,강원도 동해시,도로변을 따라 벚꽃이 화려함
석두골입구~실버타운,37.595746,129.082856,37.593427,129.087452,37.5945865,129.085154,강원도 동해시,위미초등학교 앞을 지나가는 왕벚나무길
부곡수원지~승지골입구,37.538468,129.097799,37.539128,129.091373,37.538798,129.094586,강원도 동해시,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음
쌍용자동차써비스~항도공업사(뒤쪽 분토천 주변 수목),37.492643,129.112746,37.494927,129.112286,37.493785,129.112516,강원도 동해시,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음
북삼동 주민센터(북삼동소방서~지구대),37.489197,129.108284,37.489592,129.106763,37.4893945,129.1075235,강원도 동해시,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음
전천 유기동물보호센터 구간,37.485721,129.122838,37.484286,129.116396,37.4850035,129.119617,강원도 동해시,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음
덕곡천 복개지,37.52254551,129.1143745,37.52151591,129.1189772,37.52203071,129.1166759,강원도 동해시,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음
뒷나루길,37.456621,129.169092,37.457309,129.173655,37.456965,129.1713735,강원도 삼척시,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음
도계우회로~도상로,37.247153,129.050774,37.204661,129.084998,37.225907,129.067886,강원도 삼척시,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음
새천년도로(갈천),37.462153,129.155656,37.466475,129.168989,37.464314,129.1623225,강원도 삼척시,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음
새천년도로(정라),37.436228,129.184258,37.436708,129.185845,37.436468,129.1850515,강원도 삼척시,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음
외곽도로 벚나무 송청리-정림리(50),38.0912486,127.9961622,38.1014609,127.9855732,38.09635475,127.9908677,강원도 양구군,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음
외곽도로 벚나무 정림리-하리(49),38.1018647,127.9854567,38.1104897,127.9834555,38.1061772,127.9844561,강원도 양구군,왕벚나무로 조성
고대리진입로~ 고대리마을 벚나무,38.1538025,127.9866345,38.162378,127.994142,38.15809025,127.9903883,강원도 양구군,왕벚나무로 조성
구암리 자전거도로 가로수,38.1334567,127.9883702,38.1341753,127.987758,38.133816,127.9880641,강원도 양구군,정읍 IC에서 내장산까지 이어지는 봄날 분홍빛 벚꽃의 향기가 가득한 길
동수리 한반도섬 전망대 가로수,38.1221648,127.9742158,38.1291747,127.9715462,38.12566975,127.972881,강원도 양구군,벚나무로 이루어진 가로수길
상리-용하리 가로수,38.1059092,128.0148035,38.1065343,128.0227455,38.10622175,128.0187745,강원도 양구군,벚나무로 이루어진 가로수길
소양강 꼬부랑길 선착장~웅진리쉼터 가로수,38.047791,127.945721,38.047764,127.951677,38.0477775,127.948699,강원도 양구군,공원과 인접하여 왕벚나무가 식재되어 있어 봄꽃길을 선사함
송청리-정림리 자전거도로 가로수,38.0899841,127.9950381,38.101481,127.9853808,38.09573255,127.9902095,강원도 양구군,"주거지 인접 가로이며, 왕벚나무 식재로 봄꽃길을 선사함"
하리교 동수제 가로수,38.1130102,127.9820417,38.1168987,127.982316,38.11495445,127.9821789,강원도 양구군,왕벚나무가 식재되어 있음
